K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
17	90	70	0.92969423493593	3.10188941852846	7.8	4	51013.0818450319
10	90	50	0.929831538188755	3.22100300179932	8.5	13	46578.3578611411
18	90	50	0.929927315647133	3.37344228912236	9.43333333333333	1	46430.5159234612
20	70	80	0.930090440745427	3.27116443829351	8.7	18	49230.7564192279
15	90	60	0.930175124631722	3.22155353071886	8.46666666666667	26	48703.0974187626
18	70	70	0.930333208752329	3.41290765605214	9.5	14	47282.3515368428
11	60	90	0.930574541847352	3.24956429425798	8.46666666666667	11	49139.1872858485
18	70	90	0.931347281581373	3.29168845724822	8.73333333333333	30	51039.0152076391
19	80	60	0.931491343801096	3.39063268139281	9.46666666666667	18	46947.7319312415
16	100	40	0.931576548328791	3.42773477223436	9.73333333333333	13	44921.2944166538
16	80	50	0.931709890471614	3.42964906747343	9.8	27	44411.9356690771
17	60	90	0.93177061829888	3.36188243357784	9.2	6	48715.0523635764
20	60	80	0.931780239498425	3.43529886574488	9.66666666666667	17	46738.6424046047
11	70	80	0.932041135550779	3.18515563969402	8.13333333333333	17	49826.9860301073
19	70	70	0.93205484005341	3.36657649373679	9.33333333333333	22	47344.9806156177
15	70	80	0.932130265399486	3.26451705618681	8.66666666666667	4	49384.1775108357
15	60	70	0.932237369257247	3.54301914054024	10.3333333333333	11	45079.184015456
10	50	60	0.932598490042974	3.41179185301745	9.53333333333333	29	41504.7205892653
14	80	20	0.932600623859456	3.81849081896024	12.5666666666667	6	30298.3818282406
10	80	90	0.932818863634851	3.05036340021156	7.4	14	53725.4562025541
13	100	40	0.933017240020839	3.37652267777654	9.4	16	44769.0272462935
15	70	60	0.9330202710894	3.43791145867206	9.73333333333333	26	45012.6789410212
11	40	90	0.933708625898925	3.48735731088159	9.93333333333333	21	42886.5663802517
18	60	80	0.9338742323479	3.42731949823254	9.56666666666667	3	47350.2797899315
17	80	60	0.933932217634516	3.3560209415884	9.23333333333333	11	46884.3392177106
11	100	30	0.934379122237972	3.38517830763751	9.5	8	40677.3375889537
13	30	80	0.935016404214072	3.7500186592182	11.7666666666667	1	36431.7506404319
12	50	10	0.935256297966642	3.63677996841786	12	13	24626.2454464513
17	50	100	0.935263159882635	3.40416462258736	9.4	8	47684.5137036261
15	50	100	0.935267984963516	3.38761498138392	9.36666666666667	11	47622.1418457352
14	60	70	0.935577470435051	3.46805218732441	9.9	24	44228.2983584738
10	70	50	0.935646035912838	3.33740122666068	9.2	18	43382.5573853241
11	60	50	0.935867694710776	3.46285345587894	10.0333333333333	16	40835.4350000672
13	100	30	0.935953480384844	3.50425589533656	10.0333333333333	18	40971.3940556379
16	50	100	0.936194846911865	3.45200750055869	9.66666666666667	22	47751.6659043876
14	50	90	0.93621231523834	3.48597833279244	9.93333333333333	26	45902.5506164284
14	100	40	0.936253594256923	3.41728126669464	9.6	6	43917.5387667187
14	40	80	0.937267020563303	3.63194789619218	10.9333333333333	23	40746.1999403293
11	70	50	0.937673300329265	3.40450857895251	9.6	17	43194.9180902789
13	80	80	0.937721717610167	3.13445420197049	7.9	16	51637.1124134963
15	60	80	0.938209978571805	3.40449427893952	9.53333333333333	2	47069.1915994233
19	80	50	0.938602304595595	3.47104060790859	10.0666666666667	3	44014.209942727
18	80	60	0.938653026831687	3.31824590777925	9.1	7	47009.3782944363
18	80	50	0.938769115518772	3.48909001697373	10.1333333333333	1	44528.1796571972
